"Character","Description","Encoded Byte"
" &#68776;","OLD HUNGARIAN CAPITAL LETTER ETY (U+10CA8)"," f090b2a8"
" &#68777;","OLD HUNGARIAN CAPITAL LETTER ECH (U+10CA9)"," f090b2a9"
" &#68778;","OLD HUNGARIAN CAPITAL LETTER U (U+10CAA)"," f090b2aa"
" &#68779;","OLD HUNGARIAN CAPITAL LETTER UU (U+10CAB)"," f090b2ab"
" &#68780;","OLD HUNGARIAN CAPITAL LETTER NIKOLSBURG UE (U+10CAC)"," f090b2ac"
" &#68781;","OLD HUNGARIAN CAPITAL LETTER RUDIMENTA UE (U+10CAD)"," f090b2ad"
" &#68782;","OLD HUNGARIAN CAPITAL LETTER EV (U+10CAE)"," f090b2ae"
" &#68783;","OLD HUNGARIAN CAPITAL LETTER EZ (U+10CAF)"," f090b2af"
" &#68784;","OLD HUNGARIAN CAPITAL LETTER EZS (U+10CB0)"," f090b2b0"
" &#68785;","OLD HUNGARIAN CAPITAL LETTER ENT-SHAPED SIGN (U+10CB1)"," f090b2b1"
" &#68786;","OLD HUNGARIAN CAPITAL LETTER US (U+10CB2)"," f090b2b2"
" &#68800;","OLD HUNGARIAN SMALL LETTER A (U+10CC0)"," f090b380"
" &#68801;","OLD HUNGARIAN SMALL LETTER AA (U+10CC1)"," f090b381"
" &#68802;","OLD HUNGARIAN SMALL LETTER EB (U+10CC2)"," f090b382"
" &#68803;","OLD HUNGARIAN SMALL LETTER AMB (U+10CC3)"," f090b383"
" &#68804;","OLD HUNGARIAN SMALL LETTER EC (U+10CC4)"," f090b384"
" &#68805;","OLD HUNGARIAN SMALL LETTER ENC (U+10CC5)"," f090b385"
" &#68806;","OLD HUNGARIAN SMALL LETTER ECS (U+10CC6)"," f090b386"
" &#68807;","OLD HUNGARIAN SMALL LETTER ED (U+10CC7)"," f090b387"
" &#68808;","OLD HUNGARIAN SMALL LETTER AND (U+10CC8)"," f090b388"
" &#68809;","OLD HUNGARIAN SMALL LETTER E (U+10CC9)"," f090b389"
" &#68810;","OLD HUNGARIAN SMALL LETTER CLOSE E (U+10CCA)"," f090b38a"
" &#68811;","OLD HUNGARIAN SMALL LETTER EE (U+10CCB)"," f090b38b"
" &#68812;","OLD HUNGARIAN SMALL LETTER EF (U+10CCC)"," f090b38c"
" &#68813;","OLD HUNGARIAN SMALL LETTER EG (U+10CCD)"," f090b38d"
" &#68814;","OLD HUNGARIAN SMALL LETTER EGY (U+10CCE)"," f090b38e"
" &#68815;","OLD HUNGARIAN SMALL LETTER EH (U+10CCF)"," f090b38f"
" &#68816;","OLD HUNGARIAN SMALL LETTER I (U+10CD0)"," f090b390"
" &#68817;","OLD HUNGARIAN SMALL LETTER II (U+10CD1)"," f090b391"
" &#68818;","OLD HUNGARIAN SMALL LETTER EJ (U+10CD2)"," f090b392"
" &#68819;","OLD HUNGARIAN SMALL LETTER EK (U+10CD3)"," f090b393"
" &#68820;","OLD HUNGARIAN SMALL LETTER AK (U+10CD4)"," f090b394"
" &#68821;","OLD HUNGARIAN SMALL LETTER UNK (U+10CD5)"," f090b395"
" &#68822;","OLD HUNGARIAN SMALL LETTER EL (U+10CD6)"," f090b396"
" &#68823;","OLD HUNGARIAN SMALL LETTER ELY (U+10CD7)"," f090b397"
" &#68824;","OLD HUNGARIAN SMALL LETTER EM (U+10CD8)"," f090b398"
" &#68825;","OLD HUNGARIAN SMALL LETTER EN (U+10CD9)"," f090b399"
" &#68826;","OLD HUNGARIAN SMALL LETTER ENY (U+10CDA)"," f090b39a"
" &#68827;","OLD HUNGARIAN SMALL LETTER O (U+10CDB)"," f090b39b"
" &#68828;","OLD HUNGARIAN SMALL LETTER OO (U+10CDC)"," f090b39c"
" &#68829;","OLD HUNGARIAN SMALL LETTER NIKOLSBURG OE (U+10CDD)"," f090b39d"
" &#68830;","OLD HUNGARIAN SMALL LETTER RUDIMENTA OE (U+10CDE)"," f090b39e"
" &#68831;","OLD HUNGARIAN SMALL LETTER OEE (U+10CDF)"," f090b39f"
" &#68832;","OLD HUNGARIAN SMALL LETTER EP (U+10CE0)"," f090b3a0"
" &#68833;","OLD HUNGARIAN SMALL LETTER EMP (U+10CE1)"," f090b3a1"
" &#68834;","OLD HUNGARIAN SMALL LETTER ER (U+10CE2)"," f090b3a2"
" &#68835;","OLD HUNGARIAN SMALL LETTER SHORT ER (U+10CE3)"," f090b3a3"
" &#68836;","OLD HUNGARIAN SMALL LETTER ES (U+10CE4)"," f090b3a4"
" &#68837;","OLD HUNGARIAN SMALL LETTER ESZ (U+10CE5)"," f090b3a5"
" &#68838;","OLD HUNGARIAN SMALL LETTER ET (U+10CE6)"," f090b3a6"
" &#68839;","OLD HUNGARIAN SMALL LETTER ENT (U+10CE7)"," f090b3a7"
" &#68840;","OLD HUNGARIAN SMALL LETTER ETY (U+10CE8)"," f090b3a8"
" &#68841;","OLD HUNGARIAN SMALL LETTER ECH (U+10CE9)"," f090b3a9"
" &#68842;","OLD HUNGARIAN SMALL LETTER U (U+10CEA)"," f090b3aa"
" &#68843;","OLD HUNGARIAN SMALL LETTER UU (U+10CEB)"," f090b3ab"
" &#68844;","OLD HUNGARIAN SMALL LETTER NIKOLSBURG UE (U+10CEC)"," f090b3ac"
" &#68845;","OLD HUNGARIAN SMALL LETTER RUDIMENTA UE (U+10CED)"," f090b3ad"
" &#68846;","OLD HUNGARIAN SMALL LETTER EV (U+10CEE)"," f090b3ae"
" &#68847;","OLD HUNGARIAN SMALL LETTER EZ (U+10CEF)"," f090b3af"
" &#68848;","OLD HUNGARIAN SMALL LETTER EZS (U+10CF0)"," f090b3b0"
" &#68849;","OLD HUNGARIAN SMALL LETTER ENT-SHAPED SIGN (U+10CF1)"," f090b3b1"
" &#68850;","OLD HUNGARIAN SMALL LETTER US (U+10CF2)"," f090b3b2"
" &#68858;","OLD HUNGARIAN NUMBER ONE (U+10CFA)"," f090b3ba"
" &#68859;","OLD HUNGARIAN NUMBER FIVE (U+10CFB)"," f090b3bb"
" &#68860;","OLD HUNGARIAN NUMBER TEN (U+10CFC)"," f090b3bc"
" &#68861;","OLD HUNGARIAN NUMBER FIFTY (U+10CFD)"," f090b3bd"
" &#68862;","OLD HUNGARIAN NUMBER ONE HUNDRED (U+10CFE)"," f090b3be"
" &#68863;","OLD HUNGARIAN NUMBER ONE THOUSAND (U+10CFF)"," f090b3bf"
" &#68864;","HANIFI ROHINGYA LETTER A (U+10D00)"," f090b480"
" &#68865;","HANIFI ROHINGYA LETTER BA (U+10D01)"," f090b481"
" &#68866;","HANIFI ROHINGYA LETTER PA (U+10D02)"," f090b482"
" &#68867;","HANIFI ROHINGYA LETTER TA (U+10D03)"," f090b483"
" &#68868;","HANIFI ROHINGYA LETTER TTA (U+10D04)"," f090b484"
" &#68869;","HANIFI ROHINGYA LETTER JA (U+10D05)"," f090b485"
" &#68870;","HANIFI ROHINGYA LETTER CA (U+10D06)"," f090b486"
" &#68871;","HANIFI ROHINGYA LETTER HA (U+10D07)"," f090b487"
" &#68872;","HANIFI ROHINGYA LETTER KHA (U+10D08)"," f090b488"
" &#68873;","HANIFI ROHINGYA LETTER FA (U+10D09)"," f090b489"
" &#68874;","HANIFI ROHINGYA LETTER DA (U+10D0A)"," f090b48a"
" &#68875;","HANIFI ROHINGYA LETTER DDA (U+10D0B)"," f090b48b"
" &#68876;","HANIFI ROHINGYA LETTER RA (U+10D0C)"," f090b48c"
" &#68877;","HANIFI ROHINGYA LETTER RRA (U+10D0D)"," f090b48d"
" &#68878;","HANIFI ROHINGYA LETTER ZA (U+10D0E)"," f090b48e"
" &#68879;","HANIFI ROHINGYA LETTER SA (U+10D0F)"," f090b48f"
" &#68880;","HANIFI ROHINGYA LETTER SHA (U+10D10)"," f090b490"
" &#68881;","HANIFI ROHINGYA LETTER KA (U+10D11)"," f090b491"
" &#68882;","HANIFI ROHINGYA LETTER GA (U+10D12)"," f090b492"
" &#68883;","HANIFI ROHINGYA LETTER LA (U+10D13)"," f090b493"
" &#68884;","HANIFI ROHINGYA LETTER MA (U+10D14)"," f090b494"
" &#68885;","HANIFI ROHINGYA LETTER NA (U+10D15)"," f090b495"
" &#68886;","HANIFI ROHINGYA LETTER WA (U+10D16)"," f090b496"
" &#68887;","HANIFI ROHINGYA LETTER KINNA WA (U+10D17)"," f090b497"
" &#68888;","HANIFI ROHINGYA LETTER YA (U+10D18)"," f090b498"
" &#68889;","HANIFI ROHINGYA LETTER KINNA YA (U+10D19)"," f090b499"
" &#68890;","HANIFI ROHINGYA LETTER NGA (U+10D1A)"," f090b49a"
" &#68891;","HANIFI ROHINGYA LETTER NYA (U+10D1B)"," f090b49b"
" &#68892;","HANIFI ROHINGYA LETTER VA (U+10D1C)"," f090b49c"
" &#68893;","HANIFI ROHINGYA VOWEL A (U+10D1D)"," f090b49d"
" &#68894;","HANIFI ROHINGYA VOWEL I (U+10D1E)"," f090b49e"
" &#68895;","HANIFI ROHINGYA VOWEL U (U+10D1F)"," f090b49f"
" &#68896;","HANIFI ROHINGYA VOWEL E (U+10D20)"," f090b4a0"
" &#68897;","HANIFI ROHINGYA VOWEL O (U+10D21)"," f090b4a1"
" &#68898;","HANIFI ROHINGYA MARK SAKIN (U+10D22)"," f090b4a2"
" &#68899;","HANIFI ROHINGYA MARK NA KHONNA (U+10D23)"," f090b4a3"
" &#68900;","HANIFI ROHINGYA SIGN HARBAHAY (U+10D24)"," f090b4a4"
" &#68901;","HANIFI ROHINGYA SIGN TAHALA (U+10D25)"," f090b4a5"
" &#68902;","HANIFI ROHINGYA SIGN TANA (U+10D26)"," f090b4a6"
" &#68903;","HANIFI ROHINGYA SIGN TASSI (U+10D27)"," f090b4a7"
" &#68912;","HANIFI ROHINGYA DIGIT ZERO (U+10D30)"," f090b4b0"
" &#68913;","HANIFI ROHINGYA DIGIT ONE (U+10D31)"," f090b4b1"
" &#68914;","HANIFI ROHINGYA DIGIT TWO (U+10D32)"," f090b4b2"
" &#68915;","HANIFI ROHINGYA DIGIT THREE (U+10D33)"," f090b4b3"
" &#68916;","HANIFI ROHINGYA DIGIT FOUR (U+10D34)"," f090b4b4"
" &#68917;","HANIFI ROHINGYA DIGIT FIVE (U+10D35)"," f090b4b5"
" &#68918;","HANIFI ROHINGYA DIGIT SIX (U+10D36)"," f090b4b6"
" &#68919;","HANIFI ROHINGYA DIGIT SEVEN (U+10D37)"," f090b4b7"
" &#68920;","HANIFI ROHINGYA DIGIT EIGHT (U+10D38)"," f090b4b8"
" &#68921;","HANIFI ROHINGYA DIGIT NINE (U+10D39)"," f090b4b9"
" &#69216;","RUMI DIGIT ONE (U+10E60)"," f090b9a0"
" &#69217;","RUMI DIGIT TWO (U+10E61)"," f090b9a1"
" &#69218;","RUMI DIGIT THREE (U+10E62)"," f090b9a2"
" &#69219;","RUMI DIGIT FOUR (U+10E63)"," f090b9a3"
" &#69220;","RUMI DIGIT FIVE (U+10E64)"," f090b9a4"
" &#69221;","RUMI DIGIT SIX (U+10E65)"," f090b9a5"
" &#69222;","RUMI DIGIT SEVEN (U+10E66)"," f090b9a6"
" &#69223;","RUMI DIGIT EIGHT (U+10E67)"," f090b9a7"
" &#69224;","RUMI DIGIT NINE (U+10E68)"," f090b9a8"
" &#69225;","RUMI NUMBER TEN (U+10E69)"," f090b9a9"
" &#69226;","RUMI NUMBER TWENTY (U+10E6A)"," f090b9aa"
" &#69227;","RUMI NUMBER THIRTY (U+10E6B)"," f090b9ab"
" &#69228;","RUMI NUMBER FORTY (U+10E6C)"," f090b9ac"
" &#69229;","RUMI NUMBER FIFTY (U+10E6D)"," f090b9ad"
" &#69230;","RUMI NUMBER SIXTY (U+10E6E)"," f090b9ae"
" &#69231;","RUMI NUMBER SEVENTY (U+10E6F)"," f090b9af"
" &#69232;","RUMI NUMBER EIGHTY (U+10E70)"," f090b9b0"
" &#69233;","RUMI NUMBER NINETY (U+10E71)"," f090b9b1"
" &#69234;","RUMI NUMBER ONE HUNDRED (U+10E72)"," f090b9b2"
" &#69235;","RUMI NUMBER TWO HUNDRED (U+10E73)"," f090b9b3"
" &#69236;","RUMI NUMBER THREE HUNDRED (U+10E74)"," f090b9b4"
" &#69237;","RUMI NUMBER FOUR HUNDRED (U+10E75)"," f090b9b5"
" &#69238;","RUMI NUMBER FIVE HUNDRED (U+10E76)"," f090b9b6"
" &#69239;","RUMI NUMBER SIX HUNDRED (U+10E77)"," f090b9b7"
" &#69240;","RUMI NUMBER SEVEN HUNDRED (U+10E78)"," f090b9b8"
" &#69241;","RUMI NUMBER EIGHT HUNDRED (U+10E79)"," f090b9b9"
" &#69242;","RUMI NUMBER NINE HUNDRED (U+10E7A)"," f090b9ba"
" &#69243;","RUMI FRACTION ONE HALF (U+10E7B)"," f090b9bb"
" &#69244;","RUMI FRACTION ONE QUARTER (U+10E7C)"," f090b9bc"
" &#69245;","RUMI FRACTION ONE THIRD (U+10E7D)"," f090b9bd"
" &#69246;","RUMI FRACTION TWO THIRDS (U+10E7E)"," f090b9be"
" &#69376;","OLD SOGDIAN LETTER ALEPH (U+10F00)"," f090bc80"
" &#69377;","OLD SOGDIAN LETTER FINAL ALEPH (U+10F01)"," f090bc81"
" &#69378;","OLD SOGDIAN LETTER BETH (U+10F02)"," f090bc82"
" &#69379;","OLD SOGDIAN LETTER FINAL BETH (U+10F03)"," f090bc83"
" &#69380;","OLD SOGDIAN LETTER GIMEL (U+10F04)"," f090bc84"
" &#69381;","OLD SOGDIAN LETTER HE (U+10F05)"," f090bc85"
" &#69382;","OLD SOGDIAN LETTER FINAL HE (U+10F06)"," f090bc86"
" &#69383;","OLD SOGDIAN LETTER WAW (U+10F07)"," f090bc87"
" &#69384;","OLD SOGDIAN LETTER ZAYIN (U+10F08)"," f090bc88"
" &#69385;","OLD SOGDIAN LETTER HETH (U+10F09)"," f090bc89"
" &#69386;","OLD SOGDIAN LETTER YODH (U+10F0A)"," f090bc8a"
" &#69387;","OLD SOGDIAN LETTER KAPH (U+10F0B)"," f090bc8b"
" &#69388;","OLD SOGDIAN LETTER LAMEDH (U+10F0C)"," f090bc8c"
" &#69389;","OLD SOGDIAN LETTER MEM (U+10F0D)"," f090bc8d"
" &#69390;","OLD SOGDIAN LETTER NUN (U+10F0E)"," f090bc8e"
" &#69391;","OLD SOGDIAN LETTER FINAL NUN (U+10F0F)"," f090bc8f"
" &#69392;","OLD SOGDIAN LETTER FINAL NUN WITH VERTICAL TAIL (U+10F10)"," f090bc90"
" &#69393;","OLD SOGDIAN LETTER SAMEKH (U+10F11)"," f090bc91"
" &#69394;","OLD SOGDIAN LETTER AYIN (U+10F12)"," f090bc92"
" &#69395;","OLD SOGDIAN LETTER ALTERNATE AYIN (U+10F13)"," f090bc93"
" &#69396;","OLD SOGDIAN LETTER PE (U+10F14)"," f090bc94"
" &#69397;","OLD SOGDIAN LETTER SADHE (U+10F15)"," f090bc95"
" &#69398;","OLD SOGDIAN LETTER FINAL SADHE (U+10F16)"," f090bc96"
" &#69399;","OLD SOGDIAN LETTER FINAL SADHE WITH VERTICAL TAIL (U+10F17)"," f090bc97"
" &#69400;","OLD SOGDIAN LETTER RESH-AYIN-DALETH (U+10F18)"," f090bc98"
" &#69401;","OLD SOGDIAN LETTER SHIN (U+10F19)"," f090bc99"
" &#69402;","OLD SOGDIAN LETTER TAW (U+10F1A)"," f090bc9a"
" &#69403;","OLD SOGDIAN LETTER FINAL TAW (U+10F1B)"," f090bc9b"
" &#69404;","OLD SOGDIAN LETTER FINAL TAW WITH VERTICAL TAIL (U+10F1C)"," f090bc9c"
" &#69405;","OLD SOGDIAN NUMBER ONE (U+10F1D)"," f090bc9d"
" &#69406;","OLD SOGDIAN NUMBER TWO (U+10F1E)"," f090bc9e"
" &#69407;","OLD SOGDIAN NUMBER THREE (U+10F1F)"," f090bc9f"
" &#69408;","OLD SOGDIAN NUMBER FOUR (U+10F20)"," f090bca0"
" &#69409;","OLD SOGDIAN NUMBER FIVE (U+10F21)"," f090bca1"
" &#69410;","OLD SOGDIAN NUMBER TEN (U+10F22)"," f090bca2"
" &#69411;","OLD SOGDIAN NUMBER TWENTY (U+10F23)"," f090bca3"
" &#69412;","OLD SOGDIAN NUMBER THIRTY (U+10F24)"," f090bca4"
" &#69413;","OLD SOGDIAN NUMBER ONE HUNDRED (U+10F25)"," f090bca5"
" &#69414;","OLD SOGDIAN FRACTION ONE HALF (U+10F26)"," f090bca6"
" &#69415;","OLD SOGDIAN LIGATURE AYIN-DALETH (U+10F27)"," f090bca7"
" &#69424;","SOGDIAN LETTER ALEPH (U+10F30)"," f090bcb0"
" &#69425;","SOGDIAN LETTER BETH (U+10F31)"," f090bcb1"
" &#69426;","SOGDIAN LETTER GIMEL (U+10F32)"," f090bcb2"
" &#69427;","SOGDIAN LETTER HE (U+10F33)"," f090bcb3"
" &#69428;","SOGDIAN LETTER WAW (U+10F34)"," f090bcb4"
" &#69429;","SOGDIAN LETTER ZAYIN (U+10F35)"," f090bcb5"
" &#69430;","SOGDIAN LETTER HETH (U+10F36)"," f090bcb6"
" &#69431;","SOGDIAN LETTER YODH (U+10F37)"," f090bcb7"
" &#69432;","SOGDIAN LETTER KAPH (U+10F38)"," f090bcb8"
" &#69433;","SOGDIAN LETTER LAMEDH (U+10F39)"," f090bcb9"
" &#69434;","SOGDIAN LETTER MEM (U+10F3A)"," f090bcba"
" &#69435;","SOGDIAN LETTER NUN (U+10F3B)"," f090bcbb"
" &#69436;","SOGDIAN LETTER SAMEKH (U+10F3C)"," f090bcbc"
" &#69437;","SOGDIAN LETTER AYIN (U+10F3D)"," f090bcbd"
" &#69438;","SOGDIAN LETTER PE (U+10F3E)"," f090bcbe"
" &#69439;","SOGDIAN LETTER SADHE (U+10F3F)"," f090bcbf"
" &#69440;","SOGDIAN LETTER RESH-AYIN (U+10F40)"," f090bd80"
" &#69441;","SOGDIAN LETTER SHIN (U+10F41)"," f090bd81"
" &#69442;","SOGDIAN LETTER TAW (U+10F42)"," f090bd82"
" &#69443;","SOGDIAN LETTER FETH (U+10F43)"," f090bd83"
" &#69444;","SOGDIAN LETTER LESH (U+10F44)"," f090bd84"
" &#69445;","SOGDIAN INDEPENDENT SHIN (U+10F45)"," f090bd85"
" &#69446;","SOGDIAN COMBINING DOT BELOW (U+10F46)"," f090bd86"
" &#69447;","SOGDIAN COMBINING TWO DOTS BELOW (U+10F47)"," f090bd87"
" &#69448;","SOGDIAN COMBINING DOT ABOVE (U+10F48)"," f090bd88"
" &#69449;","SOGDIAN COMBINING TWO DOTS ABOVE (U+10F49)"," f090bd89"
" &#69450;","SOGDIAN COMBINING CURVE ABOVE (U+10F4A)"," f090bd8a"
" &#69451;","SOGDIAN COMBINING CURVE BELOW (U+10F4B)"," f090bd8b"
" &#69452;","SOGDIAN COMBINING HOOK ABOVE (U+10F4C)"," f090bd8c"
" &#69453;","SOGDIAN COMBINING HOOK BELOW (U+10F4D)"," f090bd8d"
" &#69454;","SOGDIAN COMBINING LONG HOOK BELOW (U+10F4E)"," f090bd8e"
" &#69455;","SOGDIAN COMBINING RESH BELOW (U+10F4F)"," f090bd8f"
" &#69456;","SOGDIAN COMBINING STROKE BELOW (U+10F50)"," f090bd90"
" &#69457;","SOGDIAN NUMBER ONE (U+10F51)"," f090bd91"
" &#69458;","SOGDIAN NUMBER TEN (U+10F52)"," f090bd92"
" &#69459;","SOGDIAN NUMBER TWENTY (U+10F53)"," f090bd93"
" &#69460;","SOGDIAN NUMBER ONE HUNDRED (U+10F54)"," f090bd94"
" &#69461;","SOGDIAN PUNCTUATION TWO VERTICAL BARS (U+10F55)"," f090bd95"
" &#69462;","SOGDIAN PUNCTUATION TWO VERTICAL BARS WITH DOTS (U+10F56)"," f090bd96"
" &#69463;","SOGDIAN PUNCTUATION CIRCLE WITH DOT (U+10F57)"," f090bd97"
" &#69464;","SOGDIAN PUNCTUATION TWO CIRCLES WITH DOTS (U+10F58)"," f090bd98"
" &#69465;","SOGDIAN PUNCTUATION HALF CIRCLE WITH DOT (U+10F59)"," f090bd99"
" &#69632;","BRAHMI SIGN CANDRABINDU (U+11000)"," f0918080"
" &#69633;","BRAHMI SIGN ANUSVARA (U+11001)"," f0918081"
" &#69634;","BRAHMI SIGN VISARGA (U+11002)"," f0918082"
" &#69635;","BRAHMI SIGN JIHVAMULIYA (U+11003)"," f0918083"
" &#69636;","BRAHMI SIGN UPADHMANIYA (U+11004)"," f0918084"
" &#69637;","BRAHMI LETTER A (U+11005)"," f0918085"
" &#69638;","BRAHMI LETTER AA (U+11006)"," f0918086"
" &#69639;","BRAHMI LETTER I (U+11007)"," f0918087"
" &#69640;","BRAHMI LETTER II (U+11008)"," f0918088"
" &#69641;","BRAHMI LETTER U (U+11009)"," f0918089"
" &#69642;","BRAHMI LETTER UU (U+1100A)"," f091808a"
" &#69643;","BRAHMI LETTER VOCALIC R (U+1100B)"," f091808b"
" &#69644;","BRAHMI LETTER VOCALIC RR (U+1100C)"," f091808c"
" &#69645;","BRAHMI LETTER VOCALIC L (U+1100D)"," f091808d"
" &#69646;","BRAHMI LETTER VOCALIC LL (U+1100E)"," f091808e"
" &#69647;","BRAHMI LETTER E (U+1100F)"," f091808f"
" &#69648;","BRAHMI LETTER AI (U+11010)"," f0918090"
" &#69649;","BRAHMI LETTER O (U+11011)"," f0918091"
" &#69650;","BRAHMI LETTER AU (U+11012)"," f0918092"
" &#69651;","BRAHMI LETTER KA (U+11013)"," f0918093"
" &#69652;","BRAHMI LETTER KHA (U+11014)"," f0918094"
" &#69653;","BRAHMI LETTER GA (U+11015)"," f0918095"
" &#69654;","BRAHMI LETTER GHA (U+11016)"," f0918096"
" &#69655;","BRAHMI LETTER NGA (U+11017)"," f0918097"
" &#69656;","BRAHMI LETTER CA (U+11018)"," f0918098"
" &#69657;","BRAHMI LETTER CHA (U+11019)"," f0918099"
" &#69658;","BRAHMI LETTER JA (U+1101A)"," f091809a"
" &#69659;","BRAHMI LETTER JHA (U+1101B)"," f091809b"
" &#69660;","BRAHMI LETTER NYA (U+1101C)"," f091809c"
" &#69661;","BRAHMI LETTER TTA (U+1101D)"," f091809d"
" &#69662;","BRAHMI LETTER TTHA (U+1101E)"," f091809e"
" &#69663;","BRAHMI LETTER DDA (U+1101F)"," f091809f"
" &#69664;","BRAHMI LETTER DDHA (U+11020)"," f09180a0"
" &#69665;","BRAHMI LETTER NNA (U+11021)"," f09180a1"
" &#69666;","BRAHMI LETTER TA (U+11022)"," f09180a2"
" &#69667;","BRAHMI LETTER THA (U+11023)"," f09180a3"
" &#69668;","BRAHMI LETTER DA (U+11024)"," f09180a4"
" &#69669;","BRAHMI LETTER DHA (U+11025)"," f09180a5"
" &#69670;","BRAHMI LETTER NA (U+11026)"," f09180a6"
" &#69671;","BRAHMI LETTER PA (U+11027)"," f09180a7"
" &#69672;","BRAHMI LETTER PHA (U+11028)"," f09180a8"
" &#69673;","BRAHMI LETTER BA (U+11029)"," f09180a9"
" &#69674;","BRAHMI LETTER BHA (U+1102A)"," f09180aa"
" &#69675;","BRAHMI LETTER MA (U+1102B)"," f09180ab"
" &#69676;","BRAHMI LETTER YA (U+1102C)"," f09180ac"
" &#69677;","BRAHMI LETTER RA (U+1102D)"," f09180ad"
" &#69678;","BRAHMI LETTER LA (U+1102E)"," f09180ae"
" &#69679;","BRAHMI LETTER VA (U+1102F)"," f09180af"
" &#69680;","BRAHMI LETTER SHA (U+11030)"," f09180b0"
" &#69681;","BRAHMI LETTER SSA (U+11031)"," f09180b1"
" &#69682;","BRAHMI LETTER SA (U+11032)"," f09180b2"
" &#69683;","BRAHMI LETTER HA (U+11033)"," f09180b3"
" &#69684;","BRAHMI LETTER LLA (U+11034)"," f09180b4"
" &#69685;","BRAHMI LETTER OLD TAMIL LLLA (U+11035)"," f09180b5"
" &#69686;","BRAHMI LETTER OLD TAMIL RRA (U+11036)"," f09180b6"
" &#69687;","BRAHMI LETTER OLD TAMIL NNNA (U+11037)"," f09180b7"
" &#69688;","BRAHMI VOWEL SIGN AA (U+11038)"," f09180b8"
" &#69689;","BRAHMI VOWEL SIGN BHATTIPROLU AA (U+11039)"," f09180b9"
" &#69690;","BRAHMI VOWEL SIGN I (U+1103A)"," f09180ba"
" &#69691;","BRAHMI VOWEL SIGN II (U+1103B)"," f09180bb"
" &#69692;","BRAHMI VOWEL SIGN U (U+1103C)"," f09180bc"
" &#69693;","BRAHMI VOWEL SIGN UU (U+1103D)"," f09180bd"
" &#69694;","BRAHMI VOWEL SIGN VOCALIC R (U+1103E)"," f09180be"
" &#69695;","BRAHMI VOWEL SIGN VOCALIC RR (U+1103F)"," f09180bf"
" &#69696;","BRAHMI VOWEL SIGN VOCALIC L (U+11040)"," f0918180"
" &#69697;","BRAHMI VOWEL SIGN VOCALIC LL (U+11041)"," f0918181"
" &#69698;","BRAHMI VOWEL SIGN E (U+11042)"," f0918182"
" &#69699;","BRAHMI VOWEL SIGN AI (U+11043)"," f0918183"
" &#69700;","BRAHMI VOWEL SIGN O (U+11044)"," f0918184"
" &#69701;","BRAHMI VOWEL SIGN AU (U+11045)"," f0918185"
" &#69702;","BRAHMI VIRAMA (U+11046)"," f0918186"
" &#69703;","BRAHMI DANDA (U+11047)"," f0918187"
" &#69704;","BRAHMI DOUBLE DANDA (U+11048)"," f0918188"
" &#69705;","BRAHMI PUNCTUATION DOT (U+11049)"," f0918189"
" &#69706;","BRAHMI PUNCTUATION DOUBLE DOT (U+1104A)"," f091818a"
" &#69707;","BRAHMI PUNCTUATION LINE (U+1104B)"," f091818b"
" &#69708;","BRAHMI PUNCTUATION CRESCENT BAR (U+1104C)"," f091818c"
" &#69709;","BRAHMI PUNCTUATION LOTUS (U+1104D)"," f091818d"
" &#69714;","BRAHMI NUMBER ONE (U+11052)"," f0918192"
" &#69715;","BRAHMI NUMBER TWO (U+11053)"," f0918193"
" &#69716;","BRAHMI NUMBER THREE (U+11054)"," f0918194"
" &#69717;","BRAHMI NUMBER FOUR (U+11055)"," f0918195"
" &#69718;","BRAHMI NUMBER FIVE (U+11056)"," f0918196"
" &#69719;","BRAHMI NUMBER SIX (U+11057)"," f0918197"
" &#69720;","BRAHMI NUMBER SEVEN (U+11058)"," f0918198"
" &#69721;","BRAHMI NUMBER EIGHT (U+11059)"," f0918199"
" &#69722;","BRAHMI NUMBER NINE (U+1105A)"," f091819a"
" &#69723;","BRAHMI NUMBER TEN (U+1105B)"," f091819b"
" &#69724;","BRAHMI NUMBER TWENTY (U+1105C)"," f091819c"
" &#69725;","BRAHMI NUMBER THIRTY (U+1105D)"," f091819d"
" &#69726;","BRAHMI NUMBER FORTY (U+1105E)"," f091819e"
" &#69727;","BRAHMI NUMBER FIFTY (U+1105F)"," f091819f"
" &#69728;","BRAHMI NUMBER SIXTY (U+11060)"," f09181a0"
" &#69729;","BRAHMI NUMBER SEVENTY (U+11061)"," f09181a1"
" &#69730;","BRAHMI NUMBER EIGHTY (U+11062)"," f09181a2"
" &#69731;","BRAHMI NUMBER NINETY (U+11063)"," f09181a3"
" &#69732;","BRAHMI NUMBER ONE HUNDRED (U+11064)"," f09181a4"
" &#69733;","BRAHMI NUMBER ONE THOUSAND (U+11065)"," f09181a5"
" &#69734;","BRAHMI DIGIT ZERO (U+11066)"," f09181a6"
" &#69735;","BRAHMI DIGIT ONE (U+11067)"," f09181a7"
" &#69736;","BRAHMI DIGIT TWO (U+11068)"," f09181a8"
" &#69737;","BRAHMI DIGIT THREE (U+11069)"," f09181a9"
" &#69738;","BRAHMI DIGIT FOUR (U+1106A)"," f09181aa"
" &#69739;","BRAHMI DIGIT FIVE (U+1106B)"," f09181ab"
" &#69740;","BRAHMI DIGIT SIX (U+1106C)"," f09181ac"
